bench,p,e,n,m,dickson_time,dickson_count,dickson_verified,sympy_time,sympy_count,speedup
sweep_n,2,2,6,3,2.9e-05,4,True,9.3e-05,2,3.206896551724138
sweep_n,2,2,10,5,4e-05,4,True,9.5e-05,2,2.375
sweep_n,2,2,14,7,4.6e-05,6,True,0.000132,3,2.8695652173913047
sweep_n,2,2,18,9,8e-05,6,True,0.000139,3,1.7374999999999998
sweep_n,2,2,22,11,0.001057,4,True,0.00018,2,0.17029328287606435
sweep_n,2,2,26,13,0.000819,4,True,0.000198,2,0.24175824175824176
sweep_n,2,2,30,15,0.000103,10,True,0.000354,5,3.436893203883495
sweep_n,2,2,34,17,0.000351,6,True,0.000455,3,1.2962962962962963
sweep_n,2,2,38,19,0.016147,0,False,0.000357,2,0.02210937016163993
sweep_n,2,2,42,21,0.000121,12,False,0.000488,6,4.033057851239669
sweep_n,2,2,46,23,0.001695,6,True,0.000588,3,0.34690265486725663
sweep_n,2,2,50,25,0.018429,0,False,0.000429,3,0.023278528406316133
sweep_n,2,2,62,31,0.000119,14,True,0.000864,7,7.260504201680671
sweep_n,2,2,70,35,0.002825,12,True,0.001221,6,0.432212389380531
sweep_n,2,2,82,41,0.029631,0,False,0.002111,3,0.07124295501333062
sweep_n,2,2,90,45,0.003193,16,False,0.001736,8,0.5436893203883495
sweep_n,2,2,102,51,0.000254,16,True,0.00256,8,10.078740157480317
sweep_n,2,2,110,55,0.039503,0,False,0.003125,5,0.07910791585449206
sweep_n,2,2,126,63,0.00023,26,True,0.003299,13,14.343478260869563
sweep_n,2,2,146,73,0.000549,18,True,0.007507,9,13.673952641165755
sweep_n,2,2,170,85,0.000677,24,True,0.008747,12,12.920236336779912
sweep_n,2,2,186,93,0.000652,28,True,0.006705,14,10.283742331288343
sweep_n,2,2,210,105,0.001209,30,True,0.013302,15,11.002481389578163
sweep_n,2,2,254,127,0.000501,38,True,0.011202,19,22.35928143712575
sweep_n,2,2,310,155,0.065925,0,False,0.038916,14,0.5903071672354949
sweep_n,2,2,378,189,0.069053,0,False,0.078631,20,1.1387050526407252
sweep_n,2,2,434,217,0.007573,42,True,0.07483,21,9.881156741053744
sweep_n,2,2,510,255,0.001128,70,True,0.042337,35,37.53280141843971
sweep_p,2,2,6,3,3.1e-05,4,True,7.9e-05,2,2.5483870967741935
sweep_p,3,2,12,4,3.2e-05,6,True,0.000113,3,3.53125
sweep_p,5,2,30,6,0.000234,8,True,0.00024,4,1.0256410256410258
sweep_p,7,2,56,8,7.5e-05,10,True,0.000436,5,5.813333333333334
sweep_p,11,2,132,12,0.000526,14,True,0.000949,7,1.8041825095057034
sweep_p,13,2,182,14,0.000191,16,True,0.00151,8,7.9057591623036645
sweep_p,17,2,306,18,0.000106,20,True,0.002392,10,22.566037735849058
sweep_p,19,2,380,20,0.000274,22,True,0.002977,11,10.864963503649635
sweep_p,23,2,552,24,0.000421,26,True,0.004672,13,11.097387173396674
sweep_p,29,2,870,30,0.000526,32,True,0.007904,16,15.026615969581748
sweep_p,31,2,992,32,0.000263,34,True,0.009423,17,35.828897338403046
sweep_p,37,2,1406,38,0.000781,40,True,0.013022,20,16.673495518565943
sweep_p,41,2,1722,42,0.000662,44,True,0.016316,22,24.64652567975831
sweep_p,43,2,1892,44,0.001255,46,True,0.018346,23,14.618326693227091
sweep_p,47,2,2256,48,0.00087,50,True,0.024128,25,27.733333333333334
sweep_p,53,2,2862,54,0.001106,56,True,0.029671,28,26.827305605786616
sweep_p,59,2,3540,60,0.008397,62,True,0.042232,31,5.02941526735739
sweep_p,61,2,3782,62,0.002162,64,True,0.042917,32,19.850601295097132
sweep_p,67,2,4556,68,0.001369,70,True,0.052778,35,38.55222790357925
sweep_p,71,2,5112,72,0.001534,74,True,0.060214,37,39.252933507170795
